lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,iter,memory,step
0.009998886215193948,0.011219382286071777,0.14970925947030386,0.106071587651968,37.4359130859375,0.04363767181833585,18.02978515625,0.7811726729075114,6,19441,6
0.00997794446709763,0.009491395950317384,0.06773376055061817,0.0455072645097971,80.303955078125,0.022226495761424304,84.0087890625,0.20220041275024414,100,3524,100
0.009955660594668054,0.008674311637878417,0.07185561992228032,0.049126173555850985,80.28564453125,0.022729446552693842,65.3961181640625,0.20164856910705567,200,3524,200
0.009933371122565919,0.008118987083435059,0.0512383010238409,0.03539243936538696,84.58251953125,0.01584586100652814,80.5908203125,0.20148172378540039,300,3524,300
0.009911076035273796,0.00823676586151123,0.06580895595252514,0.04735793974250555,82.7911376953125,0.01845101471990347,84.6649169921875,0.20121378898620607,400,3524,400
0.0098887753171919,0.007994937896728515,0.04972394034266472,0.03457501195371151,81.378173828125,0.015148928575217723,76.9195556640625,0.20131807327270507,500,17410,500
0.009866468952637547,0.00882878303527832,0.055587586015462875,0.03974853474646807,79.949951171875,0.015839051362127064,82.2174072265625,0.2022191047668457,600,3524,600
0.009844156925844432,0.008329939842224122,0.05046789459884167,0.03541106227785349,89.0655517578125,0.015056831669062376,86.163330078125,0.20231382846832274,700,3524,700
0.009821839220962003,0.008049988746643066,0.0410922821611166,0.02829366475343704,81.6680908203125,0.012798617081716656,78.7322998046875,0.20149989128112794,800,3524,800
0.009799515822054777,0.00880131721496582,0.04054552689194679,0.028024768084287645,91.131591796875,0.012520759273320437,87.9486083984375,0.20432980060577394,900,3524,900
0.00977718671310168,0.009300160408020019,0.042074561677873136,0.02924914564937353,77.874755859375,0.012825415516272188,75.8392333984375,0.20451040267944337,1000,3524,1000
0.009754851877995354,0.008453011512756348,0.03518906906247139,0.024742001481354237,94.0032958984375,0.010447067487984896,93.3929443359375,0.20290067195892333,1100,3524,1100
0.009732511300541468,0.008663606643676759,0.04526600893586874,0.031258972734212874,83.8409423828125,0.014007035829126834,82.623291015625,0.20359179973602295,1200,3524,1200
0.009710164964458045,0.00814492702484131,0.038073820248246196,0.02680324446409941,72.528076171875,0.011270575551316142,73.5565185546875,0.20408546924591064,1300,3524,1300
0.009687812853374727,0.00843961238861084,0.043895214796066284,0.03102743923664093,74.37744140625,0.012867775466293096,76.4312744140625,0.20376458168029785,1400,3524,1400
0.009665454950832103,0.009794259071350097,0.049204249680042264,0.03476574486121535,76.5472412109375,0.014438503794372082,75.0274658203125,0.20447494983673095,1500,3524,1500
0.009643091240280942,0.008503365516662597,0.04034335650503636,0.028249804861843586,87.8143310546875,0.01209355155006051,86.968994140625,0.20322668552398682,1600,3524,1600
0.009620721705081534,0.009632015228271484,0.048203996196389196,0.03452850803732872,72.1466064453125,0.013675488205626607,71.734619140625,0.20468735694885254,1700,3524,1700
0.009598346328502901,0.009404659271240234,0.03634040635079146,0.025193918123841287,83.367919921875,0.011146488413214684,82.5958251953125,0.2053826332092285,1800,3524,1800
0.009575965093722064,0.008581995964050293,0.03594028782099486,0.02609487110748887,85.748291015625,0.009845416247844695,86.3433837890625,0.2038486957550049,1900,3524,1900
0.009553577983823325,0.008417749404907226,0.03860102836042643,0.027295815665274857,77.7191162109375,0.01130521260201931,80.13916015625,0.20398871898651122,2000,3524,2000
0.0095311849817975,0.008933424949645996,0.04243792500346899,0.029986017011106016,80.5572509765625,0.012451907154172659,80.6304931640625,0.20434181690216063,2100,3524,2100
0.009508786070541123,0.0095489501953125,0.039522476866841315,0.02773222578689456,94.7967529296875,0.011790251219645142,95.5810546875,0.20465874671936035,2200,3524,2200
0.009486381232855704,0.00877552032470703,0.04085757005959749,0.02927443478256464,85.2874755859375,0.011583135509863497,81.5704345703125,0.20443577766418458,2300,3524,2300
0.009463970451446941,0.008431625366210938,0.030939032323658466,0.022018190193921327,82.6507568359375,0.008920841943472623,86.14501953125,0.2043405294418335,2400,3524,2400
0.009441553708923918,0.00833289623260498,0.04012588635087013,0.02852580016478896,83.8653564453125,0.01160008627921343,83.10546875,0.20395615100860595,2500,3524,2500
0.009419130987798348,0.01053915023803711,0.042692852579057215,0.029723238851875066,91.8975830078125,0.012969613168388605,90.39306640625,0.20645906925201415,2600,3524,2600
0.009396702270483696,0.009615731239318848,0.037164886482059956,0.026711842231452464,84.3719482421875,0.010453043924644589,84.197998046875,0.20484230518341065,2700,3524,2700
0.009374267539294417,0.008151555061340332,0.03412545658648014,0.023686930537223816,81.304931640625,0.010438526142388582,83.11767578125,0.20293800830841063,2800,3524,2800
0.00935182677644513,0.00803673267364502,0.04152689930051565,0.030132126342505217,80.6121826171875,0.011394773563370108,83.10546875,0.2027665376663208,2900,3524,2900
0.009329379964049745,0.007941937446594239,0.03479870781302452,0.02493217308074236,88.2354736328125,0.009866534452885389,83.5601806640625,0.20359985828399657,3000,3524,3000
0.00930692708412066,0.008675575256347656,0.038747921399772164,0.027494443021714686,82.3455810546875,0.011253478797152638,81.3995361328125,0.20432167053222655,3100,3524,3100
0.00928446811856788,0.008848810195922851,0.03087024502456188,0.02151441536843777,84.698486328125,0.009355829609557987,84.075927734375,0.20521934032440187,3200,3524,3200
0.009262003049198152,0.00852065086364746,0.032313075847923756,0.02260539187118411,80.3466796875,0.009707684023305773,80.755615234375,0.20413119792938234,3300,3524,3300
0.00923953185771412,0.008837175369262696,0.032808386441320184,0.022826667036861183,95.5352783203125,0.009981720079667866,94.0704345703125,0.20504405498504638,3400,3524,3400
0.009217054525713432,0.00868229866027832,0.03258579559624195,0.0230195177718997,77.63671875,0.009566278010606766,77.276611328125,0.20431334972381593,3500,3524,3500
0.009194571034687833,0.008438181877136231,0.032119315769523385,0.022473605163395406,90.5181884765625,0.009645710443146526,89.6087646484375,0.20345609188079833,3600,3524,3600
0.009172081366022298,0.010301423072814942,0.030641679279506208,0.02172429347410798,85.7940673828125,0.008917385991662741,86.2274169921875,0.20553951263427733,3700,3524,3700
0.009149585500994062,0.008629369735717773,0.03348093647509813,0.02361880922690034,90.4693603515625,0.009862126875668764,90.4388427734375,0.2044313907623291,3800,3524,3800
0.009127083420771757,0.009355807304382324,0.0346025113016367,0.024075496569275857,93.1304931640625,0.010527014406397939,92.291259765625,0.20532796382904053,3900,3524,3900
0.009104575106414443,0.008641886711120605,0.035435954295098784,0.024593883100897072,89.031982421875,0.010842071054503322,87.518310546875,0.20440146923065186,4000,3524,4000
0.009082060538870687,0.009553289413452149,0.034473955444991586,0.024367018416523934,87.1826171875,0.010106936609372497,86.065673828125,0.2054140567779541,4100,3524,4100
0.009059539698977577,0.008430862426757812,0.026805268228054048,0.018635797314345837,90.6280517578125,0.008169470983557404,91.5863037109375,0.2044619083404541,4200,3524,4200
0.009037012567459804,0.008807563781738281,0.033546386193484067,0.0232199938967824,89.3890380859375,0.010326392319984733,85.235595703125,0.20415565967559815,4300,3524,4300
0.009014479124928643,0.00840587615966797,0.03929113894701004,0.027531610615551472,71.185302734375,0.011759528471156955,69.3634033203125,0.20354928970336914,4400,3524,4400
0.008991939351880968,0.010119223594665527,0.04089964181184769,0.02844926519319415,94.4732666015625,0.012450376665219665,94.4244384765625,0.2068577766418457,4500,3524,4500
0.008969393228698289,0.008438324928283692,0.029473299626260996,0.020614783745259047,83.02001953125,0.008858515555039049,83.5357666015625,0.2037203550338745,4600,3524,4600
0.008946840735645716,0.008114933967590332,0.032337769865989685,0.02265196982771158,81.9610595703125,0.009685799758881331,79.01611328125,0.20358691215515137,4700,3524,4700
0.00892428185287091,0.008585548400878907,0.033053573220968246,0.023564636707305908,73.4161376953125,0.009488936187699437,76.0650634765625,0.204180908203125,4800,3524,4800
0.00890171656040311,0.00794985294342041,0.04352787304669618,0.031077311001718046,86.1236572265625,0.012450561812147497,89.447021484375,0.20317511558532714,4900,3524,4900
0.008879144838152057,0.0078902006149292,0.02946457136422396,0.02100509814918041,86.5203857421875,0.008459473121911287,83.8226318359375,0.20344460010528564,5000,3524,5000
0.008856566665906906,0.009535002708435058,0.03846651315689087,0.027782719023525713,81.8756103515625,0.010683794366195798,80.621337890625,0.20503416061401367,5100,3524,5100
0.008833982023335187,0.007742524147033691,0.047402959689497946,0.03367834622040391,92.462158203125,0.013724613515660167,92.279052734375,0.20348625183105468,5200,3524,5200
0.008811390889981736,0.0079392671585083,0.031017673201858997,0.021534580923616885,89.2578125,0.00948309232480824,87.6708984375,0.2032217264175415,5300,3524,5300
0.008788793245267563,0.008522272109985352,0.02990448269993067,0.02065960131585598,71.4141845703125,0.009244881244376302,71.0723876953125,0.2046957015991211,5400,3524,5400
0.008766189068488747,0.007892894744873046,0.03046917412430048,0.021698840893805027,86.1724853515625,0.008770332857966422,85.4522705078125,0.2042308568954468,5500,3524,5500
0.008743578338815347,0.008991312980651856,0.03063668105751276,0.021008980832993983,88.629150390625,0.009627700503915548,86.749267578125,0.20489866733551027,5600,3524,5600
0.00872096103529024,0.008486509323120117,0.03136167917400599,0.022104020230472088,94.7967529296875,0.00925765885040164,94.43359375,0.20417337417602538,5700,3524,5700
0.008698337136827973,0.00843510627746582,0.03107001706957817,0.021651935670524834,88.78173828125,0.009418081352487206,76.7974853515625,0.20410125255584716,5800,3524,5800
0.0086757066222136,0.008423709869384765,0.023778125550597905,0.016529100853949784,93.5272216796875,0.007249024836346507,92.9168701171875,0.20332190990447999,5900,3524,5900
0.008653069470101487,0.008526206016540527,0.03170721810311079,0.02261916473507881,93.5516357421875,0.009088053228333592,91.93115234375,0.2037787914276123,6000,3524,6000
